pos,pos_group
PRO,qb
DUAL,qb
APB,off_skill
WR,off_skill
RB,off_skill
TE,off_skill
FB,off_skill
SF,off_skill
OT,oline
LS,oline
OG,oline
OC,oline
K,kick
P,kick
ILB,dfront
OLB,dfront
DT,dfront
SDE,dfront
WDE,dfront
S,secndry
CB,secndry
ATH,unknwn
