"['/cfb/players/jordan-hicks-1.html', '/cfb/players/nick-jordan-1.html']",61,unsure,likely not same player
"['/cfb/players/alex-de-la-torre-1.html', '/cfb/players/de-la-torre-1.html']",62,likely,
"['/cfb/players/malcolm-brown-2.html', '/cfb/players/malcom-brown-1.html', '/cfb/players/malcolm-brown-3.html', '/cfb/players/brown-6.html']",96,unsure,too many player_hrefs
"['/cfb/players/sheroid-evans-1.html', '/cfb/players/sherold-evans-1.html']",58,likely,
"['/cfb/players/anthony-fera-1.html', '/cfb/players/fera-1.html', '/cfb/players/anthony-fera-2.html']",55,unsure,too many players in one season
"['/cfb/players/adrian-phillips-1.html', '/cfb/players/phillips-2.html']",62,likely,
"['/cfb/players/caleb-jones-1.html', '/cfb/players/jones-3.html']",64,likely,
"['/cfb/players/jordan-hicks-1.html', '/cfb/players/nick-jordan-1.html']",62,unsure,likely not same player
"['/cfb/players/matthews-1.html', '/cfb/players/barrett-matthews-1.html']",64,likely,
"['/cfb/players/malcolm-brown-2.html', '/cfb/players/malcom-brown-1.html', '/cfb/players/malcolm-brown-3.html', '/cfb/players/brown-6.html']",96,unsure,too many player_hrefs
"['/cfb/players/anthony-fera-1.html', '/cfb/players/fera-1.html', '/cfb/players/anthony-fera-2.html']",53,unsure,too many players in one season
"['/cfb/players/anthony-fera-1.html', '/cfb/players/fera-1.html', '/cfb/players/anthony-fera-2.html']",55,unsure,too many players in one season
"['/cfb/players/darius-white-1.html', '/cfb/players/white-4.html']",77,likely,
"['/cfb/players/domnique-jones-1.html', '/cfb/players/dominique-jones-1.html', '/cfb/players/caleb-jones-1.html']",97,unsure,too many player_hrefs
"['/cfb/players/chris-jones-7.html', '/cfb/players/caleb-jones-1.html']",73,unsure,mismatching names and pos_group
"['/cfb/players/aj-white-1.html', '/cfb/players/darius-white-1.html']",77,unsure,likely not same player
"['/cfb/players/domnique-jones-1.html', '/cfb/players/dominique-jones-1.html', '/cfb/players/caleb-jones-1.html']",97,unsure,too many player_hrefs
"['/cfb/players/malcolm-brown-2.html', '/cfb/players/malcom-brown-1.html', '/cfb/players/malcolm-brown-3.html', '/cfb/players/brown-6.html']",100,unsure,too many player_hrefs
"['/cfb/players/eddie-jones-1.html', '/cfb/players/caleb-jones-1.html']",64,unsure,mismatching names and pos_group
"['/cfb/players/brown-6.html', '/cfb/players/chykie-brown-1.html']",67,likely,
"['/cfb/players/chykie-brown-1.html', '/cfb/players/curtis-brown-2.html']",67,likely,
"['/cfb/players/darius-white-1.html', '/cfb/players/aj-white-1.html']",100,unsure,likely not same player
"['/cfb/players/caleb-jones-1.html', '/cfb/players/domnique-jones-1.html']",100,likely,
"['/cfb/players/michael-brewer-3.html', '/cfb/players/michael-brewer-2.html', '/cfb/players/michael-brewer-4.html']",67,likely,
"['/cfb/players/sadale-foster-1.html', '/cfb/players/foster-2.html']",69,likely,
"['/cfb/players/tanner-foster-1.html', '/cfb/players/sadale-foster-1.html']",69,unsure,mismatching names and pos_group
