team_fullname,team_schoolname,team_href,capacity,city,team_abvname
Indiana State Sycamores,Indiana State,/cfb/schools/indiana-state/,,"Terre Haute, Indiana",IS Sycamores
Iowa Hawkeyes,Iowa,/cfb/schools/iowa/,70585.0,"Iowa City, Iowa",Iowa Hawkeyes
Iowa State Cyclones,Iowa State,/cfb/schools/iowa-state/,55000.0,"Ames, Iowa",IS Cyclones
Kansas Jayhawks,Kansas,/cfb/schools/kansas/,50071.0,"Lawrence, Kansas",Kansas Jayhawks
Kansas State Wildcats,Kansas State,/cfb/schools/kansas-state/,50300.0,"Manhattan, Kansas",KS Wildcats
Kent State Golden Flashes,Kent State,/cfb/schools/kent-state/,29287.0,"Kent, Ohio",KS Golden Flashes
Kentucky Wildcats,Kentucky,/cfb/schools/kentucky/,67606.0,"Lexington, Kentucky",Kentucky Wildcats
Lamar Cardinals,Lamar,/cfb/schools/lamar/,,"Beaumont, Texas",Lamar Cardinals
Long Beach State Forty Niners,Long Beach State,/cfb/schools/long-beach-state/,,"Long Beach, California",LBS Forty Niners
Louisiana Tech Bulldogs,Louisiana Tech,/cfb/schools/louisiana-tech/,30600.0,"Ruston, Louisiana",LT Bulldogs
Louisiana-Lafayette Ragin' Cajuns,Louisiana-Lafayette,/cfb/schools/louisiana-lafayette/,31000.0,"Lafayette, Louisiana",Louisiana-Lafayette Ragin' Cajuns
Louisiana-Monroe Warhawks,Louisiana-Monroe,/cfb/schools/louisiana-monroe/,30427.0,"Monroe, Louisiana",Louisiana-Monroe Warhawks
Louisville Cardinals,Louisville,/cfb/schools/louisville/,55000.0,"Louisville, Kentucky",Louisville Cardinals
LSU Fighting Tigers,LSU,/cfb/schools/louisiana-state/,92400.0,"Baton Rouge, Louisiana",LSU Fighting Tigers
Marshall Thundering Herd,Marshall,/cfb/schools/marshall/,38019.0,"Huntington, West Virginia",Marshall Thundering Herd
Maryland Terrapins,Maryland,/cfb/schools/maryland/,51500.0,"College Park, Maryland",Maryland Terrapins
Massachusetts Minutemen,Massachusetts,/cfb/schools/massachusetts/,68756.0,"Amherst, Massachusetts",Massachusetts Minutemen
McNeese State Cowboys,McNeese State,/cfb/schools/mcneese-state/,,"Lake Charles, Louisiana",MS Cowboys
Memphis Tigers,Memphis,/cfb/schools/memphis/,61008.0,"Memphis, Tennessee",Memphis Tigers
Miami (FL) Hurricanes,Miami (FL),/cfb/schools/miami-fl/,75504.0,"Coral Gables, Florida",M( Miami (FL) Hurricanes
Miami (OH) RedHawks,Miami (OH),/cfb/schools/miami-oh/,24286.0,"Oxford, Ohio",M( Miami (OH) RedHawks
Michigan Wolverines,Michigan,/cfb/schools/michigan/,106201.0,"Ann Arbor, Michigan",Michigan Wolverines
Michigan State Spartans,Michigan State,/cfb/schools/michigan-state/,75005.0,"East Lansing, Michigan",MS Spartans
Middle Tennessee State Blue Raiders,Middle Tennessee State,/cfb/schools/middle-tennessee-state/,31000.0,"Murfreesboro, Tennessee",MTS Blue Raiders
Minnesota Golden Gophers,Minnesota,/cfb/schools/minnesota/,50000.0,"Minneapolis, Minnesota",Minnesota Golden Gophers
Mississippi State Bulldogs,Mississippi State,/cfb/schools/mississippi-state/,61337.0,"Mississippi State, Mississippi",MS Bulldogs
Missouri Tigers,Missouri,/cfb/schools/missouri/,71004.0,"Columbia, Missouri",Missouri Tigers
Navy Midshipmen,Navy,/cfb/schools/navy/,34000.0,"Annapolis, Maryland",Navy Midshipmen
Nebraska Cornhuskers,Nebraska,/cfb/schools/nebraska/,81091.0,"Lincoln, Nebraska",Nebraska Cornhuskers
Nevada Wolf Pack,Nevada,/cfb/schools/nevada/,29993.0,"Reno, Nevada",Nevada Wolf Pack
UNLV Rebels,Nevada-Las Vegas,/cfb/schools/nevada-las-vegas/,36800.0,"Las Vegas, Nevada",NV UNLV Rebels
New Mexico Lobos,New Mexico,/cfb/schools/new-mexico/,42000.0,"Albuquerque, New Mexico",NM Lobos
New Mexico State Aggies,New Mexico State,/cfb/schools/new-mexico-state/,30343.0,"Las Cruces, New Mexico",NMS Aggies
North Carolina Tar Heels,North Carolina,/cfb/schools/north-carolina/,63000.0,"Chapel Hill, North Carolina",NC Tar Heels
North Carolina State Wolfpack,North Carolina State,/cfb/schools/north-carolina-state/,57583.0,"Raleigh, North Carolina",NCS Wolfpack
North Texas Mean Green,North Texas,/cfb/schools/north-texas/,30850.0,"Denton, Texas",NT Mean Green
Northern Illinois Huskies,Northern Illinois,/cfb/schools/northern-illinois/,30998.0,"De Kalb, Illinois",NI Huskies
Northwestern Wildcats,Northwestern,/cfb/schools/northwestern/,49256.0,"Evanston, Illinois",Northwestern Wildcats
Notre Dame Fighting Irish,Notre Dame,/cfb/schools/notre-dame/,80795.0,"Notre Dame, Indiana",ND Fighting Irish
Ohio Bobcats,Ohio,/cfb/schools/ohio/,24000.0,"Athens, Ohio",Ohio Bobcats
Ohio State Buckeyes,Ohio State,/cfb/schools/ohio-state/,104944.0,"Columbus, Ohio",OS Buckeyes
Oklahoma Sooners,Oklahoma,/cfb/schools/oklahoma/,82112.0,"Norman, Oklahoma",Oklahoma Sooners
Oklahoma State Cowboys,Oklahoma State,/cfb/schools/oklahoma-state/,60218.0,"Stillwater, Oklahoma",OS Cowboys
Old Dominion Monarchs,Old Dominion,/cfb/schools/old-dominion/,19818.0,"Norfolk, Virginia",OD Monarchs
Ole Miss Rebels,Ole Miss,/cfb/schools/mississippi/,60580.0,"University, Mississippi",OM Rebels
Oregon Ducks,Oregon,/cfb/schools/oregon/,53800.0,"Eugene, Oregon",Oregon Ducks
Oregon State Beavers,Oregon State,/cfb/schools/oregon-state/,46200.0,"Corvallis, Oregon",OS Beavers
Pacific Tigers,Pacific,/cfb/schools/pacific/,,"Stockton, California",Pacific Tigers
Penn State Nittany Lions,Penn State,/cfb/schools/penn-state/,107282.0,"University Park, Pennsylvania",PS Nittany Lions
Pennsylvania Quakers,Pennsylvania,/cfb/schools/pennsylvania/,,"Philadelphia, Pennsylvania",Pennsylvania Quakers
Pitt Panthers,Pitt,/cfb/schools/pittsburgh/,65050.0,"Pittsburgh, Pennsylvania",Pitt Panthers
Princeton Tigers,Princeton,/cfb/schools/princeton/,,"Princeton, New Jersey",Princeton Tigers
Purdue Boilermakers,Purdue,/cfb/schools/purdue/,62500.0,"West Lafayette, Indiana",Purdue Boilermakers
Rice Owls,Rice,/cfb/schools/rice/,70000.0,"Houston, Texas",Rice Owls
Richmond Spiders,Richmond,/cfb/schools/richmond/,,"Richmond, Virginia",Richmond Spiders
Rutgers Scarlet Knights,Rutgers,/cfb/schools/rutgers/,52454.0,"Piscataway, New Jersey",Rutgers Scarlet Knights
San Diego State Aztecs,San Diego State,/cfb/schools/san-diego-state/,70561.0,"San Diego, California",SDS Aztecs
San Jose State Spartans,San Jose State,/cfb/schools/san-jose-state/,30456.0,"San Jose, California",SJS Spartans
SMU Mustangs,SMU,/cfb/schools/southern-methodist/,32000.0,"Dallas, Texas",SMU Mustangs
