2,1948-49,II
2,1949-50,II
2,1950-51,II
2,1951-52,II
2,1952-53,II
2,1953-54,II
2,1954-55,II
2,1955-56,II
2,1956-57,II
2,1958-59,II
2,1959-60,II
2,1960-61,II
2,1961-62,II
2,1962-63,II
2,1963-64,II
2,1964-65,II
2,1965-66,II
2,1966-67,II
2,1967-68,II
2,1968-69,II
2,1969-70,II
2,1970-71,II
2,1971-72,II
2,1972-73,II
2,1981-82,II
2,1982-83,II
2,1983-84,II
2,1984-85,II
2,1985-86,II
2,1986-87,II
2,1987-88,II
2,1988-89,II
2,1989-90,II
2,1990-91,II
2,1991-92,II
2,1992-93,II
2,1993-94,II
2,1994-95,II
2,1995-96,II
2,1996-97,II
2,1997-98,II
2,1998-99,II
2,1999-00,III
2,2000-01,II
2,2001-02,II
2,2002-03,II
2,2003-04,II
2,2004-05,II
2,2005-06,II
2,2006-07,II
2,2007-08,II
2,1948-49,II
2,1949-50,II
2,1950-51,II
2,1951-52,II
2,1952-53,II
2,1953-54,II
2,1954-55,II
2,1955-56,II
2,1956-57,II
2,1958-59,II
2,1959-60,II
2,1960-61,II
2,1961-62,II
2,1962-63,II
2,1963-64,II
2,1964-65,II
2,1965-66,II
2,1966-67,II
2,1967-68,II
2,1968-69,II
2,1969-70,II
2,1970-71,II
2,1971-72,II
2,1972-73,II
2,1981-82,II
2,1982-83,II
2,1983-84,II
2,1984-85,II
2,1985-86,II
2,1986-87,II
2,1987-88,II
2,1988-89,II
2,1989-90,II
2,1990-91,II
2,1991-92,II
2,1992-93,II
2,1993-94,II
2,1994-95,II
2,1995-96,II
2,1996-97,II
2,1997-98,II
2,1998-99,II
2,1999-00,III
2,2000-01,II
2,2001-02,II
2,2002-03,II
2,2003-04,II
2,2004-05,II
2,2005-06,II
2,2006-07,II
2,2007-08,II
721,1956-57,II
721,1957-58,I
721,1958-59,I
721,1959-60,I
721,1960-61,I
721,1961-62,I
721,1962-63,I
721,1963-64,I
721,1964-65,I
721,1965-66,I
721,1966-67,I
721,1967-68,I
721,1968-69,I
721,1969-70,I
721,1970-71,I
721,1971-72,I
721,1972-73,I
721,1973-74,I
721,1982-83,I
721,2000-01,I
721,2001-02,I
721,2002-03,I
721,2003-04,I
721,2004-05,I
721,2005-06,I
721,2006-07,I
721,2007-08,I
721,2008-09,I
721,2009-10,I
721,2010-11,I
721,2011-12,I
721,2012-13,I
721,2013-14,?
721,2014-15,?
721,2015-16,?
721,2016-17,?
8,1953-54,I
8,1954-55,I
8,1955-56,I
8,1956-57,I
8,1957-58,I
8,1958-59,I
8,1959-60,I
8,1960-61,I
8,1961-62,I
8,1962-63,I
8,1963-64,I
8,1964-65,I
8,1965-66,I
8,1966-67,I
8,1967-68,I
8,1968-69,I
8,1969-70,I
8,1970-71,I
8,1971-72,I
8,1972-73,I
8,1973-74,I
8,1982-83,I
8,2000-01,I
8,2001-02,I
8,2002-03,I
8,2003-04,I
8,2004-05,I
8,2005-06,I
8,2006-07,I
8,2007-08,I
8,2008-09,I
8,2009-10,I
8,2010-11,I
8,2011-12,I
8,2012-13,I
8,2013-14,?
8,2014-15,?
8,2015-16,?
8,2016-17,?
