2009,2,"Fowler, Cameron",922765,FR,Fowler,Cameron,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Franklin, Marcus",843642,SO,Franklin,Marcus,11.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,9.0,224.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Freeman, Rodney",811660,SR,Freeman,Rodney,10.0,,,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Gates, Edmund",853279,SO,Gates,Edmund,11.0,11.0,94.0,1.0,,,,,,,11.0,94.0,31.0,716.0,8.0,,,,,,,,,,,,5.0,105.0,0.0,9.0,,,,,,,,,,,,54.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Godbolt, Kyle",922728,FR,Godbolt,Kyle,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Gunderson, Blake",922758,FR,Gunderson,Blake,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Hales, Cade",922767,SO,Hales,Cade,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Harbison, Alex",922643,JR,Harbison,Alex,12.0,,,,,,,,,,0.0,0.0,,,,2.0,21.0,0.0,,,,,,1.0,0.0,0.0,1.0,11.0,0.0,,,,,,,,,,,,,0.0,,17.0,9.0,26.0,0.0,1.0,0.5,5.0,0.0,1.0,0.5,5.0,6.0
2009,2,"Harp, Tony",737424,JR,Harp,Tony,11.0,,,,,,,,,,0.0,0.0,,,,1.0,40.0,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,,,,0.0,1.0,35.0,18.0,53.0,4.0,1.0,4.5,18.0,1.0,0.0,1.0,9.0,4.0
2009,2,"Harrell, Clark",922642,SO,Harrell,Clark,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,
2009,2,"Harris, ",941073,-,Harris,,11.0,,,,,,,,,,0.0,0.0,,,,3.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,21.0,8.0,29.0,0.0,2.0,1.0,2.0,,,0.0,,5.0
2009,2,"Havins, Richard",811661,FR,Havins,Richard,12.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,6.0,1.0,30.0,21.0,51.0,,,0.0,,,,0.0,,2.0
2009,2,"Haywood, Brian",952352,JR,Haywood,Brian,4.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2.0,3.0,,,0.0,,,,0.0,,
2009,2,"Henry, Josh",811664,SR,Henry,Josh,7.0,,,,,,,,,,0.0,0.0,,,,1.0,51.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,2.0,5.0,,,0.0,,,,0.0,,
