"","(Intercept)"
"2009_103",1.81868758620962
"2009_111",-5.64254928034243
"2009_113",-0.888231744775054
"2009_119",-2.65975871892933
"2009_12",6.29743059144707
"2009_120",-1.75287018212192
"2009_127",5.04616901608716
"2009_13",-7.20797031273451
"2009_130",3.43562132026576
"2009_135",-0.0545089588371368
"2009_142",5.64894069197739
"2009_145",5.71027397360729
"2009_147",-6.49817353473947
"2009_150",1.74937471307426
"2009_151",1.88074332588569
"2009_152",5.77067988628453
"2009_153",0.0871414358827196
"2009_154",1.78251459735088
"2009_155",-1.50237606645239
"2009_158",1.51206799139216
"2009_16",-8.79021142152941
"2009_160",-1.02244367496422
"2009_164",1.3316240095841
"2009_166",-13.1803661174014
"2009_167",-6.84674991801222
"2009_183",-1.56725003830592
"2009_189",1.22760986870651
"2009_193",-6.25770339192831
"2009_194",4.16258343049952
"2009_195",0.0394190832934973
"2009_197",4.00184193831466
"2009_2",8.58712453325932
"2009_2005",1.89970649025896
"2009_2006",-4.74719806726809
"2009_201",6.92375103865663
"2009_2016",-10.2942807961876
"2009_202",0.626160820828265
"2009_2026",1.76164048744909
"2009_2032",-4.51393489737406
"2009_204",7.63841877274931
"2009_2050",-7.16941664877645
"2009_2084",-1.30152716454608
"2009_21",-2.25640210556174
"2009_2110",-3.62104288395609
"2009_2116",-0.915002346763145
"2009_2117",6.1786359964927
"2009_2127",-5.93849688179904
"2009_213",3.59109695077634
"2009_2132",13.4192955310131
"2009_2169",-6.56407015648293
"2009_218",4.58585603603963
"2009_2197",-2.93316047136128
"2009_2198",-5.77906259483222
"2009_2199",-8.13130726544605
"2009_221",8.31545524567678
"2009_2210",-4.61028911498471
"2009_2226",0.622412773217974
"2009_2229",-2.78896960873277
"2009_2241",-4.50014521386297
"2009_227",-3.88559612081186
"2009_2275",-5.33562266849
"2009_228",7.73671545842719
"2009_2287",-2.57720508871856
"2009_2294",0.314532246350276
"2009_2296",-4.4024531640058
"2009_23",-10.0024640640775
"2009_2305",6.15999788547497
"2009_2306",0.167388034767515
"2009_2309",-6.173903345076
"2009_231",0.220151360595443
"2009_2335",1.08158352938938
"2009_2348",0.384677760489007
"2009_235",-2.46501597115061
"2009_236",-2.49853211529949
"2009_2377",-0.0862683876493942
"2009_238",-6.57557843167557
"2009_239",-1.07238669692694
"2009_2390",9.48346990497098
"2009_2393",1.585012771871
"2009_24",10.8396326830002
"2009_2400",-7.75280868654916
"2009_2415",-9.12556779149643
"2009_242",-6.21777152851786
"2009_2426",1.74523606261745
"2009_2428",-3.33240944801352
"2009_2433",-2.29887988320514
"2009_2439",-0.234482589202329
"2009_2440",11.7616720767336
"2009_2447",-5.25685344105741
"2009_2449",-1.18700534346964
"2009_245",8.79767515273163
"2009_2458",-6.9228080011993
"2009_2459",2.09254459428545
"2009_2460",1.06105448810737
"2009_2464",-0.809690438981701
"2009_2466",-7.00805625963995
"2009_248",14.1500391416654
"2009_2483",12.6433114697454
"2009_249",-0.810202849530629
"2009_25",4.28172378137389
"2009_2502",-4.03824029635225
"2009_2504",-2.70526404634099
"2009_2509",2.55832287888002
"2009_251",15.756749956523
"2009_252",8.20084435536216
"2009_253",-0.632069665821896
"2009_2534",-7.27040572276486
"2009_2535",2.25611996919098
"2009_254",3.30553138398733
"2009_2545",-3.31333323589398
"2009_2546",-5.0712776606316
"2009_256",3.32250721481744
"2009_2567",0.0829991779869435
"2009_2569",-0.305398162424093
"2009_257",0.222479170374615
"2009_2571",-2.68767300683569
"2009_2572",5.15522934480638
"2009_2579",-0.633258723166674
"2009_258",-1.77341616996411
"2009_2582",-3.13326051280574
"2009_259",9.2680903702668
"2009_26",-1.81210687113677
"2009_2617",-1.05385143994983
"2009_2623",-3.71316059283598
"2009_2628",13.0429733495533
"2009_2630",-5.57858271288486
"2009_2633",6.77642178884701
"2009_2635",-8.6871584007939
"2009_2638",1.51525884913773
"2009_264",2.32954615340566
"2009_2640",-10.6028910726943
"2009_2641",10.768994850209
"2009_2643",-2.10149420521506
"2009_2649",2.96534467687147
"2009_265",-9.50375336036215
"2009_2653",4.53168736854887
"2009_2655",-9.23494189604431
"2009_2678",-1.72696948865588
"2009_2692",-0.680762356861531
"2009_2710",-4.436404145425
"2009_2711",-2.19834118453238
"2009_2729",2.2061407950966
"2009_2747",-4.02458116875249
"2009_275",6.95678012593421
"2009_2751",-6.78398865982895
"2009_2754",-4.7057464389863
"2009_2755",-3.74451496108805
"2009_276",-3.78261108154463
"2009_277",2.88500371836342
"2009_278",7.19742850435849
"2009_282",-3.81666252834291
"2009_290",-0.0424126061376465
"2009_30",3.25251578331199
"2009_302",-6.00413799839533
"2009_304",-5.98454532337177
"2009_309",-4.27302735825359
"2009_311",0.0228813893197277
"2009_324",-9.0569178610794
"2009_326",3.23174252272472
"2009_328",2.33633806186092
"2009_331",-4.77035946081154
"2009_333",7.79671397213922
"2009_344",3.46491808054979
"2009_349",-9.66219239022701
"2009_356",0.469450688747582
"2009_36",-3.35497263068566
"2009_38",-0.59221458512568
"2009_41",8.84196077489275
"2009_47",-3.28444965537848
"2009_48",-0.0650955359557254
"2009_5",-0.366637842628309
"2009_50",-0.386893585239843
"2009_52",7.99342413797628
"2009_55",-4.48266201232364
"2009_57",9.28775684989844
"2009_58",0.736415153552313
"2009_59",12.5534632193313
"2009_61",5.57197346036299
"2009_62",-3.03332453003091
"2009_66",-1.78644610388778
"2009_68",14.239181876115
"2009_70",4.7518662424359
"2009_77",-0.779392261200447
"2009_79",2.10896603414975
"2009_8",12.7275908000443
"2009_84",0.636840387214927
"2009_87",4.5189744165681
"2009_9",-2.43685644231564
"2009_93",-6.97806541769512
"2009_96",3.79985534551574
"2009_97",-3.77106347673505
"2009_98",-5.41057758399489
"2009_99",2.43541658738465
"2010_103",-5.11596985458732
"2010_113",2.99164793148255
"2010_119",-4.30004255418958
"2010_12",5.71266578561979
"2010_120",5.60340073421242
"2010_127",4.9007399209479
"2010_13",-2.64954417395515
"2010_130",9.62465918922837
"2010_135",-0.0938120713961156
"2010_142",3.49649519644143
"2010_145",4.66831753035944
"2010_147",-1.62895860723642
"2010_150",1.85304957162654
"2010_151",10.2043196781358
"2010_152",7.4174942936845
"2010_153",0.945089750751206
"2010_154",-0.362253372198563
"2010_155",-7.15747397370368
"2010_158",6.82661842048763
"2010_16",1.35083566829586
"2010_160",-0.365219355018936
"2010_164",-2.95200272014964
"2010_166",-9.51222983927438
"2010_167",-8.31373575212593
"2010_183",-3.99904786922981
"2010_189",-5.6343441423855
"2010_193",-5.79230554172533
"2010_194",10.8048648670633
"2010_195",-2.24248396562849
"2010_197",15.7688747861212
"2010_2",16.6851082625797
"2010_2005",4.80821370316438
"2010_2006",-9.92046741771005
"2010_201",11.1929903329397
"2010_2016",0.424396710962935
"2010_202",7.82932519270585
"2010_2026",-2.75065039258973
"2010_2029",-5.17608941879143
"2010_2032",2.05976839721282
"2010_204",3.52408002874727
"2010_2046",-2.46134336327411
"2010_2050",-5.06386718495269
"2010_2084",-12.1917335214629
"2010_21",6.64016744211748
"2010_2110",-4.2540893858819
"2010_2116",3.21441382471133
"2010_2117",-2.39801354161
"2010_2127",-4.53257559113007
"2010_213",0.0468562751002186
"2010_2132",3.77264234496621
"2010_218",-1.52661909710776
"2010_2197",-2.09433293449672
"2010_2198",-1.52415032267818
"2010_2199",-6.07360871742408
"2010_221",3.28970283152409
"2010_2210",-1.10537236072996
"2010_222",1.37629516697391
"2010_2226",-9.35073156250544
"2010_2229",2.04065642218117
"2010_2241",1.72691944293743
"2010_2247",-1.16932928458262
"2010_2261",-8.19427081402502
"2010_227",-9.40810251781637
"2010_228",-0.393777395993824
"2010_2294",2.94873821924196
"2010_23",-7.26206967672387
"2010_2305",-7.03109904961043
"2010_2306",7.53835461844698
"2010_2309",-5.95218061751508
"2010_231",1.01883564396996
"2010_233",1.35330758882103
"2010_2335",-1.04779945886203
"2010_2348",0.967927129499181
"2010_235",-11.2380089301093
"2010_236",1.61904028213985
"2010_2377",-1.47646872227463
"2010_238",-7.67422999917227
"2010_239",6.05126462045489
"2010_2390",4.25658172013239
"2010_2393",-3.52555302703705
"2010_24",14.7523869083987
"2010_2415",-5.72932370643619
"2010_242",-0.258093229373512
"2010_2426",3.46058402717074
"2010_2433",-6.99203406753279
"2010_2439",-4.70151778085401
"2010_2440",13.4656203246333
"2010_2447",-8.19132978176613
"2010_2449",-7.85920728491397
"2010_245",5.67483758431102
"2010_2450",-8.46918824032295
"2010_2458",-3.73753905014431
"2010_2459",8.21865786136659
"2010_2460",-8.2900797786637
"2010_2464",0.551518682913031
"2010_2466",0.531403899009422
"2010_248",7.62815344616813
"2010_2483",21.3033373437675
"2010_249",-3.12945116807726
"2010_25",2.11519745135566
"2010_2502",-6.33227950947956
"2010_2504",-7.09862982335017
