"","id","off_int","off_var","def_int","def_var","season","team_schoolname"
"1",2,8.59548994576294,9.35729328320617,-2.22824198186745,9.44139911348716,2009,"Auburn"
"2",2,-4.99486575751104,9.4055793541153,-4.04807234489948,9.48559747147667,2012,"Auburn"
"3",2,9.33692179902289,8.82600200142383,-14.580184915557,8.89955587144103,2017,"Auburn"
"4",2,2.09685171575429,9.39345819352817,-4.60445872567889,9.47331304755268,2015,"Auburn"
"5",2,6.11563232046868,9.33899665106622,-13.976888765457,9.42319588123268,2016,"Auburn"
"6",2,1.25036421855311,9.40733124937379,-1.75341319005886,9.48769178976671,2011,"Auburn"
"7",2,16.6869600104972,8.91940983267891,-5.58694655138893,8.98943078826369,2010,"Auburn"
"8",2,13.6299347947377,8.68506991208907,-7.82452209257944,8.75927974018024,2013,"Auburn"
"9",2,13.3411322418833,9.3288886987174,-7.78271469042102,9.41288420390186,2014,"Auburn"
"10",5,-0.367598148519185,10.6862559002173,4.46234246544244,10.807075002234,2009,"UAB"
"11",5,-1.48010515476099,9.29996123307118,1.30691417064282,9.38552808666719,2017,"UAB"
"12",5,-2.08890206857754,9.25906300123401,4.44488026399706,9.34688514439727,2010,"UAB"
"13",5,-2.465068827085,9.31442358688216,12.3889743716432,9.39810481904846,2013,"UAB"
"14",5,-6.99910363080893,9.91348746615519,6.84024209131123,10.0161310918847,2011,"UAB"
"15",5,5.1141789272571,10.1241895057496,-1.07133163568302,10.2175912095499,2014,"UAB"
"16",5,-1.59041876478739,9.36963705056715,7.01565205998561,9.45331537322285,2012,"UAB"
"17",6,-3.43958674033607,9.50028891548276,-2.10184860605773,9.5799607797818,2016,"South Alabama"
"18",6,-1.40722835198278,31.1776837280354,3.57908961774646,32.2904046652411,2011,"South Alabama"
"19",6,0.917162133170316,9.32777491614751,-1.96276160673586,9.41197831908718,2013,"South Alabama"
"20",6,-6.86682099296429,9.91216127610691,-2.71545400160721,10.0150176238805,2014,"South Alabama"
"21",6,-9.25456791810701,9.32445051676966,-1.58368848232844,9.41013145422047,2017,"South Alabama"
"22",6,-2.83356779986524,9.40372389844255,5.75269630292329,9.48359572978964,2015,"South Alabama"
"23",6,-8.68899233283187,8.72252168217172,0.784261682355067,8.79708558047244,2012,"South Alabama"
"24",8,8.75166815553879,9.35298804031443,-4.15219374778281,9.43667559871475,2015,"Arkansas"
"25",8,12.0598123211946,9.35793839974064,-5.7978811276208,9.44239000394147,2010,"Arkansas"
"26",8,-2.9254957048484,9.32150384364584,-1.89044878051749,9.40532325774244,2013,"Arkansas"
"27",8,7.05831079706502,9.28667196664228,-12.506718803582,9.37253346547188,2014,"Arkansas"
"28",8,12.7297264919376,9.41387636913676,-3.34298344125606,9.49405466561857,2009,"Arkansas"
"29",8,4.69067594609646,9.39240151944461,-1.7983712601765,9.4724505972129,2016,"Arkansas"
"30",8,1.1153529413926,9.35017355287597,-0.711158050020727,9.43413689427364,2012,"Arkansas"
"31",8,4.05654955096893,9.39114604553572,4.03813426805145,9.47132476238878,2017,"Arkansas"
"32",8,11.555060339763,9.34560806690312,-4.93767755187905,9.42963799947858,2011,"Arkansas"
"33",9,5.52603138460919,9.51563775886667,4.50980066298311,9.59635433859065,2016,"Arizona State"
"34",9,7.779476403047,9.69597349396015,-6.35255108881983,9.77202579133551,2010,"Arizona State"
"35",9,-2.42036754983887,10.1610895349575,-6.9107065398227,10.2604320986845,2009,"Arizona State"
"36",9,16.662091842241,8.92685340039512,-5.86228326488322,9.00101087666639,2013,"Arizona State"
"37",9,5.04458032884107,9.29753079737247,-1.31614139733047,9.38651963126422,2017,"Arizona State"
"38",9,7.40413454275998,9.43912261108294,-3.20546336424821,9.52419255550048,2011,"Arizona State"
"39",9,7.75042691965708,9.49801009418561,-0.340992234631432,9.57881677806728,2015,"Arizona State"
"40",9,10.2300740525675,10.2226650390204,-6.3957328507748,10.3171460373277,2014,"Arizona State"
"41",9,8.91079126960662,9.43140057556938,-6.4231121376909,9.5162316141314,2012,"Arizona State"
"42",12,7.08977866337695,8.82413519021522,-5.66001125622369,8.90229649550785,2014,"Arizona"
"43",12,9.50057825269718,9.49570610542293,4.4307905107465,9.57637800667745,2015,"Arizona"
"44",12,10.7791782895561,9.41796931992443,1.20575848825855,9.50283140223782,2012,"Arizona"
"45",12,5.1107927205176,9.49095515230255,1.50463842578123,9.57166174384219,2011,"Arizona"
"46",12,6.30009849105584,9.48209239677514,-5.36025731086957,9.56710393155799,2009,"Arizona"
"47",12,5.71851031671308,9.53029338328983,-8.53397107952724,9.61140302875543,2010,"Arizona"
"48",12,6.53771228416372,9.49058644681982,-7.83860664845669,9.57138922711794,2013,"Arizona"
"49",12,12.700864050699,9.49031428487492,4.03426678911235,9.5709143337986,2017,"Arizona"
"50",12,0.665756050550469,11.0872590113656,6.24113795989232,11.1996730368487,2016,"Arizona"
"51",13,-9.08413237184585,41.3476397348697,0.513287207907542,43.3371297227709,2014,"Cal Poly"
"52",13,0.316591819087677,31.1244683761321,6.82530035774286,32.2335854452752,2011,"Cal Poly"
"53",13,-2.65175791409207,41.3478244775047,1.91359187553906,43.3372933242767,2010,"Cal Poly"
"54",13,-1.73771539528351,41.2649868672906,-2.92601767530967,43.2482559884687,2012,"Cal Poly"
"55",13,-7.20234527581959,31.3179970439555,-0.226255286274922,32.4368161145523,2009,"Cal Poly"
"56",13,0.31880479035056,41.3436835301239,1.38359086738024,43.3327801751198,2016,"Cal Poly"
"57",13,-8.53388314107048,41.1878806285985,4.29770150376425,43.1651203182931,2017,"Cal Poly"
